Sample_ID	Strain_Type
GQ221974	clinical
MN274568	clinical
PP803491	clinical
OQ466312	clinical
OQ466311	clinical
MZ327301	clinical
KJ426589	clinical
MW528464	clinical
MW528463	clinical
MW528462	clinical
MW528461	clinical
MW528460	clinical
MW528459	clinical
MW528458	clinical
MW439039	clinical
MW439038	clinical
MT894141	clinical
MT070142	clinical
MT070141	clinical
MT070140	clinical
MT070139	clinical
MT070138	clinical
MW197157	clinical
MW197156	clinical
MW197155	clinical
MW197154	clinical
MN920393	clinical
MN900952	clinical
KY490088	clinical
KY490087	clinical
KY490086	clinical
KY490085	clinical
KY490084	clinical
KY490083	clinical
KY490082	clinical
KY490081	clinical
KY490080	clinical
KY490079	clinical
KY490078	clinical
KY490077	clinical
KY490076	clinical
KY490075	clinical
KY490074	clinical
KY490073	clinical
KY490072	clinical
KY490071	clinical
KY490070	clinical
KY490069	clinical
KY490068	clinical
KY490067	clinical
KY490066	clinical
KY490065	clinical
KY490064	clinical
KY490063	clinical
KY490062	clinical
KY490061	clinical
MF783093	clinical
MF783092	clinical
MF783091	clinical
MF783090	clinical
KT726955	clinical
KT726954	clinical
KT726953	clinical
KT726952	clinical
KT726951	clinical
KT726950	clinical
KT726949	clinical
KT726948	clinical
KT726947	clinical
KT726946	clinical
KT726945	clinical
KT726944	clinical
KT726943	clinical
KT726942	clinical
KT726941	clinical
KT726940	clinical
KJ872542	clinical
KJ872541	clinical
KJ872540	clinical
KJ872539	clinical
KY123653	clinical
KY123652	clinical
KY123651	clinical
KY123650	clinical
KY123649	clinical
GU179001	clinical
KY002200	clinical
KX544841	clinical
KX544838	clinical
KX544837	clinical
KX544835	clinical
KX544834	clinical
KX544833	clinical
KX544832	clinical
KX544831	clinical
HQ380895	clinical
KR534213	clinical
KR534212	clinical
KR534211	clinical
KR534210	clinical
KR534209	clinical
KR534208	clinical
KR534207	clinical
KR534206	clinical
KR534205	clinical
KR534204	clinical
KR534203	clinical
KR534202	clinical
KR534201	clinical
KR534199	clinical
KU550090	clinical
KU550089	clinical
KU550088	clinical
KU550087	clinical
JX512199	clinical
KJ361970	clinical
KJ361969	clinical
KJ361968	clinical
KJ361967	clinical
KJ361966	clinical
KJ361965	clinical
KJ361964	clinical
KJ361963	clinical
KJ361962	clinical
KJ361961	clinical
KJ361960	clinical
KJ361959	clinical
KT634296	clinical
KM192299	clinical
KM192298	clinical
KC519322	clinical
JN379816	clinical
JN379815	clinical
JN379814	clinical
AC146999	clinical
AC146906	clinical
AC146905	clinical
AC146904	clinical
AC146851	clinical
AX686187	clinical
PP412594	clinical
PP412593	clinical
PP412592	clinical
PP386308	clinical
OU342918	clinical
OU342917	clinical
OU342916	clinical
OU342915	clinical
OU342914	clinical
OU342913	clinical
OU342912	clinical
OU342911	clinical
OU342900	clinical
OV100763	clinical
OV100762	clinical
OV100760	clinical
ON119199	clinical
ON119198	clinical
ON119197	clinical
ON119196	clinical
ON119195	clinical
ON119194	clinical
ON119193	clinical
ON119192	clinical
ON119190	clinical
OK000909	clinical
MT649474	clinical
MT649473	clinical
MT649472	clinical
MT649471	clinical
MT649470	clinical
MT649469	clinical
MT649468	clinical
LT907985	clinical
MT044485	clinical
MT044484	clinical
MT044483	clinical
MT044482	clinical
MT044481	clinical
MT044480	clinical
MT044479	clinical
MT044478	clinical
MT044477	clinical
MT044476	clinical
MN075802	clinical
MK422176	clinical
MK290744	clinical
MK290743	clinical
MK290742	clinical
MK425187	clinical
MK213797	clinical
KP973642	clinical
KP973641	clinical
KP973640	clinical
KP973639	clinical
KP973638	clinical
KP973637	clinical
KP973636	clinical
KP973635	clinical
KP973634	clinical
KP973633	clinical
KP973632	clinical
KP973631	clinical
KP973630	clinical
KP973629	clinical
KP973628	clinical
KP973627	clinical
KP973626	clinical
KP973625	clinical
KP973624	clinical
KP973623	clinical
KU221100	clinical
KU221099	clinical
KU221098	clinical
KU221097	clinical
KU221096	clinical
KU221095	clinical
KU221094	clinical
KU221093	clinical
KU221092	clinical
KU221091	clinical
KU221090	clinical
KM192302	clinical
KM192301	clinical
KM192300	clinical
OR546130	clinical
OR546129	clinical
OR546128	clinical
OR546127	clinical
OR546126	clinical
PA711989	lab
OF231933	lab
LY731000	lab
MA762834	lab
LY505272	lab
X17403	lab
GU980198	lab
NC_006273	lab
AY446894	lab
GU937742	lab
BK000394	lab
KF021605	lab
KF297339	lab
FJ616285	lab
MW980585	lab
EF999921	lab
KY002201	lab
KX544840	lab
KX544839	lab
KX544836	lab
AH013698	lab
KX101024	lab
KX101023	lab
