window,window_start,window_end,feature_type,gene_name,feature_start,feature_end,strand,product,overlap_start,overlap_end,overlap_bp,overlap_percentage
window__194751-195250_pos468,194751,195250,repeat_region,Unknown,194343,195667,+,Unknown,194751,195250,500,100.0
window__194751-195250_pos468,194751,195250,repeat_region,Unknown,195089,197626,+,Unknown,195089,195250,162,32.4
window__194751-195250_pos468,194751,195250,repeat_region,Unknown,195089,195667,+,Unknown,195089,195250,162,32.4
window__751-1250_pos457,751,1250,repeat_region,Unknown,0,1324,+,Unknown,751,1250,500,100.0
window__231501-232000_pos197,231501,232000,misc_feature,Unknown,197626,233108,+,Unknown,231501,232000,500,100.0
window__231501-232000_pos197,231501,232000,gene,US33A,230318,231527,+,Unknown,231501,231527,27,5.4
window__231501-232000_pos197,231501,232000,mRNA,US33A,230349,231527,+,protein US33A,231501,231527,27,5.4
window__231501-232000_pos197,231501,232000,gene,US34,230715,231527,+,Unknown,231501,231527,27,5.4
window__231501-232000_pos197,231501,232000,gene,US34A,231200,231527,+,Unknown,231501,231527,27,5.4
window__231501-232000_pos197,231501,232000,regulatory,Unknown,231505,231511,+,Unknown,231505,231511,7,1.4000000000000001
window__231501-232000_pos197,231501,232000,misc_feature,Unknown,231681,231693,+,Unknown,231681,231693,13,2.6
window__231501-232000_pos197,231501,232000,misc_feature,Unknown,231908,231920,+,Unknown,231908,231920,13,2.6
window__194501-195000_pos346,194501,195000,repeat_region,Unknown,194343,195667,+,Unknown,194501,195000,500,100.0
window__195001-195500_pos389,195001,195500,repeat_region,Unknown,194343,195667,+,Unknown,195001,195500,500,100.0
window__195001-195500_pos389,195001,195500,repeat_region,Unknown,195089,197626,+,Unknown,195089,195500,412,82.39999999999999
window__195001-195500_pos389,195001,195500,repeat_region,Unknown,195089,195667,+,Unknown,195089,195500,412,82.39999999999999
window__501-1000_pos187,501,1000,repeat_region,Unknown,0,1324,+,Unknown,501,1000,500,100.0
window__501-1000_pos187,501,1000,repeat_region,Unknown,0,578,+,Unknown,501,578,78,15.6
window__226501-227000_pos0,226501,227000,misc_feature,Unknown,197626,233108,+,Unknown,226501,227000,500,100.0
window__226501-227000_pos0,226501,227000,gene,US27,223799,226529,+,Unknown,226501,226529,29,5.800000000000001
window__226501-227000_pos0,226501,227000,mRNA,US27,223831,226529,+,envelope glycoprotein US27,226501,226529,29,5.800000000000001
window__226501-227000_pos0,226501,227000,gene,US28,225434,226529,+,Unknown,226501,226529,29,5.800000000000001
window__226501-227000_pos0,226501,227000,regulatory,Unknown,226497,226503,+,Unknown,226501,226503,3,0.6
window__226501-227000_pos0,226501,227000,gene,US29,226661,228050,+,Unknown,226661,227000,340,68.0
window__226501-227000_pos0,226501,227000,CDS,US29,226661,228050,+,membrane protein US29,226661,227000,340,68.0
window__226501-227000_pos0,226501,227000,ncRNA,hcmv-miR-US33-3p,226710,226730,-,hcmv-miR-US33-3p,226710,226730,21,4.2
window__226501-227000_pos0,226501,227000,ncRNA,hcmv-miR-US33-5p,226746,226768,-,hcmv-miR-US33-5p,226746,226768,23,4.6
window__195001-195500_pos260,195001,195500,repeat_region,Unknown,194343,195667,+,Unknown,195001,195500,500,100.0
window__195001-195500_pos260,195001,195500,repeat_region,Unknown,195089,197626,+,Unknown,195089,195500,412,82.39999999999999
window__195001-195500_pos260,195001,195500,repeat_region,Unknown,195089,195667,+,Unknown,195089,195500,412,82.39999999999999
window__31501-32000_pos266,31501,32000,misc_feature,Unknown,1324,194343,+,Unknown,31501,32000,500,100.0
window__31501-32000_pos266,31501,32000,gene,UL25,30401,32372,+,Unknown,31501,32000,500,100.0
window__31501-32000_pos266,31501,32000,CDS,UL25,30401,32372,+,tegument protein UL25,31501,32000,500,100.0
window__106751-107250_pos349,106751,107250,misc_feature,Unknown,1324,194343,+,Unknown,106751,107250,500,100.0
window__106751-107250_pos349,106751,107250,gene,UL72,105868,107035,-,Unknown,106751,107035,285,56.99999999999999
window__106751-107250_pos349,106751,107250,CDS,UL72,105868,107035,-,deoxyuridine triphosphatase,106751,107035,285,56.99999999999999
window__106751-107250_pos349,106751,107250,gene,UL73,106936,109088,+,Unknown,106936,107250,315,63.0
window__106751-107250_pos349,106751,107250,regulatory,UL73,106936,106942,+,Unknown,106936,106942,7,1.4000000000000001
window__106751-107250_pos349,106751,107250,regulatory,UL73,106964,106970,+,Unknown,106964,106970,7,1.4000000000000001
window__106751-107250_pos349,106751,107250,mRNA,UL73,106971,109088,+,envelope glycoprotein N,106971,107250,280,56.00000000000001
window__106751-107250_pos349,106751,107250,mRNA,UL73,106994,109088,+,envelope glycoprotein N,106994,107250,257,51.4
window__106751-107250_pos349,106751,107250,CDS,UL73,107050,107458,+,envelope glycoprotein N,107050,107250,201,40.2
window__194501-195000_pos349,194501,195000,repeat_region,Unknown,194343,195667,+,Unknown,194501,195000,500,100.0
window__226501-227000_pos9,226501,227000,misc_feature,Unknown,197626,233108,+,Unknown,226501,227000,500,100.0
window__226501-227000_pos9,226501,227000,gene,US27,223799,226529,+,Unknown,226501,226529,29,5.800000000000001
window__226501-227000_pos9,226501,227000,mRNA,US27,223831,226529,+,envelope glycoprotein US27,226501,226529,29,5.800000000000001
window__226501-227000_pos9,226501,227000,gene,US28,225434,226529,+,Unknown,226501,226529,29,5.800000000000001
window__226501-227000_pos9,226501,227000,regulatory,Unknown,226497,226503,+,Unknown,226501,226503,3,0.6
window__226501-227000_pos9,226501,227000,gene,US29,226661,228050,+,Unknown,226661,227000,340,68.0
window__226501-227000_pos9,226501,227000,CDS,US29,226661,228050,+,membrane protein US29,226661,227000,340,68.0
window__226501-227000_pos9,226501,227000,ncRNA,hcmv-miR-US33-3p,226710,226730,-,hcmv-miR-US33-3p,226710,226730,21,4.2
window__226501-227000_pos9,226501,227000,ncRNA,hcmv-miR-US33-5p,226746,226768,-,hcmv-miR-US33-5p,226746,226768,23,4.6
window__39751-40250_pos483,39751,40250,misc_feature,Unknown,1324,194343,+,Unknown,39751,40250,500,100.0
window__39751-40250_pos483,39751,40250,gene,UL31,38326,40114,+,Unknown,39751,40114,364,72.8
window__39751-40250_pos483,39751,40250,CDS,UL31,38326,40114,+,protein UL31,39751,40114,364,72.8
window__39751-40250_pos483,39751,40250,gene,UL32,40194,43344,-,Unknown,40194,40250,57,11.4
window__39751-40250_pos483,39751,40250,CDS,UL32,40194,43344,-,tegument protein pp150,40194,40250,57,11.4
